로컬 PK,글로벌 PK,필터_일자,필터_종목코드,필터_종목명,종목정보,종별,세부종목,경기구분,상태,일시,경기장,시도
1,체조_남자18세이하부_제1경기-단체종합_결승,2025/09/25,23,체조,체조,남자18세이하부,제1경기-단체종합,결승,종료,2025/09/25 10:00 ~ 20:20,부산사직종합운동장 실내체육관,
2,체조_남자18세이하부_제2경기-개인종합_결승,2025/09/25,23,체조,체조,남자18세이하부,제2경기-개인종합,결승,종료,2025/09/25 10:00 ~ 20:20,부산사직종합운동장 실내체육관,
3,체조_남자일반부_제1경기-단체종합_결승,2025/09/25,23,체조,체조,남자일반부,제1경기-단체종합,결승,종료,2025/09/25 10:00 ~ 20:20,부산사직종합운동장 실내체육관,
4,체조_남자일반부_제2경기-개인종합_결승,2025/09/25,23,체조,체조,남자일반부,제2경기-개인종합,결승,종료,2025/09/25 10:00 ~ 20:20,부산사직종합운동장 실내체육관,
5,카누_남자18세이하부_K1-1000M_예선1조,2025/09/26,33,카누,카누,남자18세이하부,K1-1000M,예선1조,종료,2025/09/26 09:00,서낙동강조정카누경기장,
6,카누_남자18세이하부_K1-1000M_예선2조,2025/09/26,33,카누,카누,남자18세이하부,K1-1000M,예선2조,종료,2025/09/26 09:10,서낙동강조정카누경기장,
7,카누_남자18세이하부_K1-1000M_준결승,2025/09/26,33,카누,카누,남자18세이하부,K1-1000M,준결승,종료,2025/09/26 11:20,서낙동강조정카누경기장,
8,카누_남자18세이하부_K1-1000M_결승,2025/09/26,33,카누,카누,남자18세이하부,K1-1000M,결승,종료,2025/09/26 14:00,서낙동강조정카누경기장,
9,카누_남자18세이하부_K2-500M_예선1조,2025/09/26,33,카누,카누,남자18세이하부,K2-500M,예선1조,종료,2025/09/26 15:40,서낙동강조정카누경기장,
10,카누_남자18세이하부_K2-500M_예선2조,2025/09/26,33,카누,카누,남자18세이하부,K2-500M,예선2조,종료,2025/09/26 15:50,서낙동강조정카누경기장,
11,카누_남자18세이하부_K2-1000M_예선1조,2025/09/26,33,카누,카누,남자18세이하부,K2-1000M,예선1조,종료,2025/09/26 10:10,서낙동강조정카누경기장,
12,카누_남자18세이하부_K2-1000M_예선2조,2025/09/26,33,카누,카누,남자18세이하부,K2-1000M,예선2조,종료,2025/09/26 10:20,서낙동강조정카누경기장,
13,카누_남자18세이하부_K2-1000M_준결승,2025/09/26,33,카누,카누,남자18세이하부,K2-1000M,준결승,종료,2025/09/26 12:20,서낙동강조정카누경기장,
14,카누_남자일반부_K1-1000M_예선1조,2025/09/26,33,카누,카누,남자일반부,K1-1000M,예선1조,종료,2025/09/26 09:20,서낙동강조정카누경기장,
15,카누_남자일반부_K1-1000M_예선2조,2025/09/26,33,카누,카누,남자일반부,K1-1000M,예선2조,종료,2025/09/26 09:30,서낙동강조정카누경기장,
16,카누_남자일반부_K1-1000M_준결승,2025/09/26,33,카누,카누,남자일반부,K1-1000M,준결승,종료,2025/09/26 11:40,서낙동강조정카누경기장,
17,카누_남자일반부_K1-1000M_결승,2025/09/26,33,카누,카누,남자일반부,K1-1000M,결승,종료,2025/09/26 14:10,서낙동강조정카누경기장,
18,카누_남자일반부_K2-1000M_예선1조,2025/09/26,33,카누,카누,남자일반부,K2-1000M,예선1조,종료,2025/09/26 10:30,서낙동강조정카누경기장,
19,카누_남자일반부_K2-1000M_예선2조,2025/09/26,33,카누,카누,남자일반부,K2-1000M,예선2조,종료,2025/09/26 10:40,서낙동강조정카누경기장,
20,카누_남자일반부_K2-1000M_준결승,2025/09/26,33,카누,카누,남자일반부,K2-1000M,준결승,종료,2025/09/26 12:40,서낙동강조정카누경기장,
21,카누_남자일반부_C1-500M_예선1조,2025/09/26,33,카누,카누,남자일반부,C1-500M,예선1조,종료,2025/09/26 16:20,서낙동강조정카누경기장,
22,카누_남자일반부_C1-500M_예선2조,2025/09/26,33,카누,카누,남자일반부,C1-500M,예선2조,종료,2025/09/26 16:30,서낙동강조정카누경기장,
23,카누_남자일반부_C1-1000M_예선1조,2025/09/26,33,카누,카누,남자일반부,C1-1000M,예선1조,종료,2025/09/26 09:40,서낙동강조정카누경기장,
24,카누_남자일반부_C1-1000M_예선2조,2025/09/26,33,카누,카누,남자일반부,C1-1000M,예선2조,종료,2025/09/26 09:50,서낙동강조정카누경기장,
25,카누_남자일반부_C1-1000M_준결승,2025/09/26,33,카누,카누,남자일반부,C1-1000M,준결승,종료,2025/09/26 10:50,서낙동강조정카누경기장,
26,카누_남자일반부_C1-1000M_결승,2025/09/26,33,카누,카누,남자일반부,C1-1000M,결승,종료,2025/09/26 13:40,서낙동강조정카누경기장,
