로컬 PK,글로벌 PK,종목정보,종별,세부종목,경기구분,상태,일시,경기장,시도
1,검도_남자18세이하부_단체전_예선경기2,검도,남자18세이하부,단체전,예선경기2,미종료,2025/10/21 09:45 ~ 10:30,부산한마음스포츠센터,전남 : 세종
2,검도_남자대학부_단체전_예선경기6,검도,남자대학부,단체전,예선경기6,미종료,2025/10/19 11:55 ~ 12:30,부산한마음스포츠센터,전남 : 경북
3,검도_남자일반부_단체전_예선경기7,검도,남자일반부,단체전,예선경기7,미종료,2025/10/20 12:30 ~ 13:05,부산한마음스포츠센터,전남 : 서울
4,검도_여자일반부_단체전_예선경기1,검도,여자일반부,단체전,예선경기1,미종료,2025/10/18 09:00 ~ 09:25,부산한마음스포츠센터,경남 : 전남
5,농구 (3x3경기의 경우 예선리그전이 끝난 후 토너먼트일정이 조회됩니다.)_남자18세이하부_단체전_예선경기5,농구 (3x3경기의 경우 예선리그전이 끝난 후 토너먼트일정이 조회됩니다.),남자18세이하부,단체전,예선경기5,미종료,2025/10/19 12:30,부산외국어대학교 체육관,전남 : 강원
6,농구 (3x3경기의 경우 예선리그전이 끝난 후 토너먼트일정이 조회됩니다.)_남자일반부_단체전_예선경기1,농구 (3x3경기의 경우 예선리그전이 끝난 후 토너먼트일정이 조회됩니다.),남자일반부,단체전,예선경기1,미종료,2025/10/19 18:00,부산대학교 경암체육관,전남 : 충남
7,농구 (3x3경기의 경우 예선리그전이 끝난 후 토너먼트일정이 조회됩니다.)_여자18세이하부_단체전_예선경기3,농구 (3x3경기의 경우 예선리그전이 끝난 후 토너먼트일정이 조회됩니다.),여자18세이하부,단체전,예선경기3,미종료,2025/10/18 11:30,부산대학교 경암체육관,전남 : 광주
8,농구 (3x3경기의 경우 예선리그전이 끝난 후 토너먼트일정이 조회됩니다.)_여자일반부_단체전_예선경기2,농구 (3x3경기의 경우 예선리그전이 끝난 후 토너먼트일정이 조회됩니다.),여자일반부,단체전,예선경기2,미종료,2025/10/19 16:20,부산대학교 경암체육관,경기 : 전남
9,당구_남자일반부_캐롬3쿠션_예선경기1,당구,남자일반부,캐롬3쿠션,예선경기1,종료,2025/10/01 19:00 ~ 21:30,기장체육관,전남<경남
10,당구_남자일반부_잉글리쉬빌리아드_예선경기5,당구,남자일반부,잉글리쉬빌리아드,예선경기5,미종료,2025/10/02 11:30 ~ 14:00,기장체육관,경북>전남
11,당구_남자일반부_스누커_예선경기7,당구,남자일반부,스누커,예선경기7,종료,2025/09/30 11:30 ~ 14:00,기장체육관,경남<전남
12,당구_남자일반부_스누커_준준결승경기4,당구,남자일반부,스누커,준준결승경기4,종료,2025/09/30 19:00 ~ 21:30,기장체육관,강원>전남
13,당구_남자일반부_포켓10볼_예선경기3,당구,남자일반부,포켓10볼,예선경기3,미종료,2025/10/02 11:30 ~ 14:00,기장체육관,전남 : 제주
14,당구_남자일반부_캐롬1쿠션_예선경기6,당구,남자일반부,캐롬1쿠션,예선경기6,종료,2025/09/30 14:00 ~ 16:30,기장체육관,경남>전남
15,당구_여자일반부_포켓10볼_예선경기5,당구,여자일반부,포켓10볼,예선경기5,종료,2025/10/02 09:00 ~ 11:30,기장체육관,경남<전남
16,당구_여자일반부_포켓10볼_준준결승경기2,당구,여자일반부,포켓10볼,준준결승경기2,미종료,2025/10/02 16:30 ~ 19:00,기장체육관,전남 :
17,당구_일반부_포켓9볼 혼성복식전_예선경기1,당구,일반부,포켓9볼 혼성복식전,예선경기1,종료,2025/09/30 09:00 ~ 11:30,기장체육관,전남<인천
18,럭비_18세이하부_단체전_예선경기4,럭비,18세이하부,단체전,예선경기4,미종료,2025/10/14 13:00 ~ 14:10,삼락생태공원축구장,대전 : 전남
19,럭비_일반부_단체전_예선경기3,럭비,일반부,단체전,예선경기3,미종료,2025/10/13 10:45 ~ 12:20,삼락생태공원축구장,전남 : 광주
20,레슬링_남자18세이하부_자유형97kg급_준준결승경기2,레슬링,남자18세이하부,자유형97kg급,준준결승경기2,미종료,2025/10/21 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",: 전남
21,레슬링_남자18세이하부_그레꼬로만형63kg급_예선경기2,레슬링,남자18세이하부,그레꼬로만형63kg급,예선경기2,미종료,2025/10/19 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",전남 : 강원
22,레슬링_남자18세이하부_그레꼬로만형97kg급_준준결승경기3,레슬링,남자18세이하부,그레꼬로만형97kg급,준준결승경기3,미종료,2025/10/18 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",전남 :
23,레슬링_남자18세이하부_자유형53kg급_예선경기1,레슬링,남자18세이하부,자유형53kg급,예선경기1,미종료,2025/10/21 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",전남 : 경기
24,레슬링_남자18세이하부_자유형57kg급_예선경기1,레슬링,남자18세이하부,자유형57kg급,예선경기1,미종료,2025/10/23 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",전북 : 전남
25,레슬링_남자18세이하부_자유형61kg급_예선경기1,레슬링,남자18세이하부,자유형61kg급,예선경기1,미종료,2025/10/21 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",광주 : 전남
26,레슬링_남자18세이하부_자유형65kg급_예선경기1,레슬링,남자18세이하부,자유형65kg급,예선경기1,미종료,2025/10/22 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",충남 : 전남
27,레슬링_남자18세이하부_자유형70kg급_예선경기2,레슬링,남자18세이하부,자유형70kg급,예선경기2,미종료,2025/10/21 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",전남 : 강원
28,레슬링_남자18세이하부_자유형74kg급_예선경기1,레슬링,남자18세이하부,자유형74kg급,예선경기1,미종료,2025/10/23 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",울산 : 전남
29,레슬링_남자18세이하부_자유형79kg급_준준결승경기3,레슬링,남자18세이하부,자유형79kg급,준준결승경기3,미종료,2025/10/22 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",전남 :
30,레슬링_남자18세이하부_자유형86kg급_예선경기3,레슬링,남자18세이하부,자유형86kg급,예선경기3,미종료,2025/10/22 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",전남 : 충북
31,레슬링_남자18세이하부_자유형92kg급_준준결승경기3,레슬링,남자18세이하부,자유형92kg급,준준결승경기3,미종료,2025/10/23 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",전남 :
32,레슬링_남자18세이하부_자유형125kg급_준준결승경기2,레슬링,남자18세이하부,자유형125kg급,준준결승경기2,미종료,2025/10/22 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",: 전남
33,레슬링_남자18세이하부_그레꼬로만형51kg급_예선경기2,레슬링,남자18세이하부,그레꼬로만형51kg급,예선경기2,미종료,2025/10/19 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",충북 : 전남
34,레슬링_남자18세이하부_그레꼬로만형55kg급_예선경기5,레슬링,남자18세이하부,그레꼬로만형55kg급,예선경기5,미종료,2025/10/18 10:00 ~ 17:00,"BEXCO 제2전시장(5D,5E)",전남 : 광주
